id,name,birthdate,deathdate
6822,Robert Zemeckis,14/05/1952,
6823,Roberta Valderrama,,
6824,Roberts Blossom,25/03/1924,08/07/2011
6825,Robin Atkin Downes,06/09/1976,
6826,Robin Bartlett,22/04/1951,
6827,Robin Budd,,
6828,Robin Givens,27/11/1964,
6829,Robin Lord Taylor,04/06/1978,
6830,Robin McLeavy,19/06/1981,
6831,Robin Sachs,05/02/1951,01/02/2013
6832,Robin Shou,17/07/1960,
6833,Robin Weigert,07/07/1969,
6834,Robin Williams,21/07/1951,11/08/2014
6835,Robin Wright,08/04/1966,
6836,Robinne Lee,16/07/1974,
6837,Robinson Devor,,
6838,Robyn Lively,07/02/1972,
6839,Rock Hudson,17/11/1925,02/10/1985
6840,Rod Lurie,15/05/1962,
6841,Rod Steiger,14/04/1925,09/07/2002
6842,Roddy McDowall,17/09/1928,03/10/1998
6843,Rodger Bumpass,20/11/1951,
6844,Rodman Flender,09/06/1962,
6845,Rodney Dangerfield,22/11/1921,05/10/2004
6846,Rodney Eastman,20/07/1967,
6847,Rodrigo CortÃ©s,,
6848,Rodrigo De la Serna,18/04/1976,
6849,Rodrigo GarcÃ­a,24/08/1959,
6850,Roger Allam,26/10/1953,
6851,Roger Allers,,
6852,Roger Ashton-Griffiths,19/01/1957,
6853,Roger Avary,23/08/1965,
6854,Roger Bart,29/09/1962,
6855,Roger Christian,25/02/1944,
6856,Roger Cross,16/09/1973,
6857,Roger Donaldson,15/11/1945,
6858,Roger Guenveur Smith,27/07/1955,
6859,Roger Jackson,13/07/1958,
6860,Roger Kumble,28/05/1966,
6861,Roger Lloyd Pack,08/02/1944,15/01/2014
6862,Roger Michell,05/06/1956,
6863,Roger Nygard,28/03/1962,
6864,Roger Rees,05/05/1944,10/07/2015
6865,Roger Spottiswoode,05/01/1945,
6866,Roger Vadim,26/01/1928,11/02/2000
6867,Roger Willie,,
6868,Rohan Sippy,,
6869,Rohit Jagessar,,
6870,Rohit Jugraj,,
6871,Roland Emmerich,10/11/1955,
6872,Roland JoffÃ©,17/11/1945,
6873,Roland Suso Richter,07/01/1961,
6874,Rolando Molina,13/08/1971,
6875,Rollo Weeks,20/03/1987,
6876,Roma Downey,06/05/1960,
6877,Roma Maffia,31/05/1958,
6878,Romain Duris,28/05/1974,
6879,Roman Polanski,18/08/1933,
6880,Romane Bohringer,14/08/1973,
6881,Romany Malco,18/11/1968,
6882,Romeo Miller,19/08/1989,
6883,Romesh Sharma,27/07/1947,
6884,Romi Aboulafia,21/01/1984,
6885,Romola Garai,06/08/1982,
6886,Ron Clements,25/04/1953,
6887,Ron Eldard,20/02/1965,
6888,Ron Fricke,,
6889,Ron Gelner,,
6890,Ron Howard,01/03/1954,
6891,Ron Lester,08/03/1959,
6892,Ron Maxwell,,
6893,Ron Moody,08/01/1924,11/06/2015
6894,Ron Palillo,02/04/1949,14/08/2012
6895,Ron Rifkin,31/10/1939,
6896,Ron RoggÃ©,16/10/1968,
6897,Ron Shelton,,
6898,Ron Silver,02/07/1946,15/03/2009
6899,Ron Underwood,06/11/1953,
6900,Ronald Colman,1891-02-09,19/05/1958
6901,Ronald Neame,23/04/1911,16/06/2010
6902,Ronald Pickup,07/06/1940,
6903,Ronald Reagan,19/04/1937,
6904,Ronan Chapalain,,
6905,Ronee Collins,,
6906,Ronit Elkabetz,27/11/1964,19/04/2016
6907,Ronnie Gene Blevins,20/06/1977,
6908,Ronnie Lazaro,14/11/1957,
6909,Ronny Cox,,
6910,Ronny Dayag,,
6911,Ronny Yu,,
6912,Rorke Denver,,
6913,Rory Cochrane,28/02/1972,
6914,Rory Culkin,21/07/1989,
6915,Rory Kinnear,17/02/1978,
6916,Rosa Salazar,,
6917,Rosalind Ayres,07/12/1946,
6918,Rosalind Chao,23/09/1957,
6919,Rosalind Harris,,
6920,Rosanna Arquette,10/08/1959,
6921,Rosanna DeSoto,02/09/1950,
6922,Rosario Dawson,09/05/1979,
6923,Roschdy Zem,28/09/1965,
6924,Roscoe Lee Browne,02/05/1922,11/04/2007
6925,Rose Marie,15/08/1923,
6926,Roseanne Barr,03/11/1952,
6927,Rosemarie DeWitt,26/10/1971,
6928,Roshan Seth,02/04/1942,
6929,Rosie O'Donnell,21/03/1962,
6930,Rosie Perez,06/09/1964,
6931,Rosie Traynor,,
6932,Ross Elliott,18/06/1917,12/08/1999
6933,Rowan Isaacson,,
6934,Rowan Joffe,,
6935,Rowdy Herrington,,
6936,Roxane Duran,,
6937,Roxanne McKee,10/08/1980,
6938,Roy Billing,,
6939,Roy Dupuis,21/04/1963,
6940,Roy Scheider,10/11/1932,10/02/2008
6941,Royal Dano,16/11/1922,15/05/1994
6942,Ruairi Robinson,15/02/1978,
6943,Ruba Nadda,06/12/1972,
6944,Ruben Fleischer,31/10/1974,
6945,Ruby Dee,27/10/1922,11/06/2014
6946,Ruby Harris,,
6947,Ruby Jerins,10/04/1998,
6948,Ruby Lin,27/01/1976,
6949,RÃ¼diger Vogler,14/05/1942,
6950,Rudolf Klein-Rogge,1885-11-24,30/04/1955
6951,Rudy Youngblood,21/09/1982,
6952,Rufus Graham,,
6953,Rufus Sewell,29/10/1967,
6954,Ruggero Deodato,07/05/1939,
6955,Rumer Willis,16/08/1988,
6956,Rumi Hiiragi,01/08/1987,
6957,Rumi Missabu,,
6958,Rupert Evans,09/03/1976,
6959,Rupert Everett,29/05/1959,
6960,Rupert Graves,30/06/1963,
6961,Rupert Grint,24/08/1988,
6962,Rupert Sanders,16/03/1971,
6963,Rupert Wainwright,30/11/1961,
6964,Rupert Wyatt,26/10/1972,
6965,Rus Blackwell,23/03/1963,
6966,Russ Meyer,21/03/1922,18/09/2004
6967,Russ Tamblyn,30/12/1934,
6968,Russell Crowe,07/04/1964,
6969,Russell Friedenberg,10/02/1968,
6970,Russell Hodgkinson,14/08/1959,
6971,Russell Holt,,
6972,Russell Mulcahy,23/06/1953,
6973,Russell Peters,29/09/1970,
6974,Russell Tovey,14/11/1981,
6975,Russell Wong,01/03/1963,
6976,Russi Taylor,04/05/1944,
6977,Rusty Cundieff,13/12/1960,
6978,Ruth Negga,07/01/1982,
6979,Ruth Sheen,,
6980,Ruth Wilson,13/01/1982,
6981,Ryan Bollman,09/08/1972,
6982,Ryan Carnes,21/11/1982,
6983,Ryan Cartwright,14/03/1981,
6984,Ryan Coogler,23/05/1986,
6985,Ryan Corr,15/01/1989,
6986,Ryan Donowho,20/09/1980,
6987,Ryan Fleck,20/09/1976,
6988,Ryan Gosling,12/11/1980,
6989,Ryan Guzman,21/09/1987,
6990,Ryan Kennedy,06/12/1982,
6991,Ryan Kruger,,
6992,Ryan Little,28/03/1971,
6993,Ryan McDonald,,
6994,Ryan Murphy,30/11/1965,
6995,Ryan O'Neal,20/04/1941,
6996,Ryan Reynolds,23/10/1976,
6997,Ryan Robbins,26/11/1972,
6998,Ryan Smith,,
6999,RyÃ´ko Hirosue,18/07/1980,
7000,Ryu Kohata,,
7001,RyÃ»hei Kitamura,30/05/1969,
7002,RyÃ»nosuke Kamiki,19/05/1993,
7003,RZA,05/07/1969,
7004,S. Epatha Merkerson,28/11/1952,
7005,S. William Hinzman,24/10/1936,05/02/2012
7006,S.R. Bindler,14/02/1970,
7007,S.S. Rajamouli,,
7008,Saad Siddiqui,24/04/1983,
7009,Sabrina Carmichael,11/07/1985,
7010,Sabrina Ferilli,28/06/1964,
7011,Sabrina Revelle,,
7012,Sacha Bennett,11/05/1971,
7013,Sachiko Ishida,12/09/1977,
7014,Sadyk Sher-Niyaz,10/03/1969,
7015,Saeed Jaffrey,08/01/1929,15/11/2015
7016,Saffron Burrows,22/10/1972,
7017,Sahajak Boonthanakit,,
7018,Sai Varadan,,
7019,SaÃ¯d Taghmaoui,19/07/1973,
7020,Saif Ali Khan,16/08/1970,
7021,Sajid Khan,16/08/1970,
7022,Sakae Kimura,06/09/1955,
7023,Sakina Jaffrey,14/02/1962,
7024,Sal Lopez,08/11/1954,
7025,Sal Mineo,10/01/1939,12/02/1976
7026,Salim Akil,22/06/1964,
7027,Salli Richardson-Whitfield,23/11/1967,
7028,Sally Hawkins,27/04/1976,
7029,Sally Kirkland,31/10/1941,
7030,Sally Potter,19/09/1949,
7031,Salma Hayek,02/09/1966,
7032,Salvador Carrasco,16/06/1967,
7033,Salvator Xuereb,17/11/1965,
7034,Salvatore Santone,07/07/1999,
7035,Sam Adams,,
7036,Sam Anderson,02/04/1947,
7037,Sam Claflin,27/06/1986,
7038,Sam Edwards,11/11/1959,
7039,Sam Fell,,
7040,Sam Firstenberg,13/03/1950,
7041,Sam J. Jones,12/08/1954,
7042,Sam Jaeger,29/01/1977,
7043,Sam Lerner,27/09/1992,
7044,Sam Levinson,,
7045,Sam Lloyd,12/11/1963,
7046,Sam Martin,,
7047,Sam McMurray,15/04/1952,
7048,Sam Medina,,
7049,Sam Mendes,01/08/1965,
7050,Sam Miller,28/09/1962,
7051,Sam Peckinpah,21/02/1925,28/12/1984
7052,Sam Raimi,23/10/1959,
7053,Sam Reid,19/02/1987,
7054,Sam Riley,08/01/1980,
7055,Sam Shepard,05/11/1943,
7056,Sam Taylor-Johnson,04/03/1967,
7057,Sam Trammell,29/01/1969,
7058,Sam Waterston,15/11/1940,
7059,Sam Weisman,,
7060,Samaire Armstrong,31/10/1980,
7061,Samantha Barks,02/10/1990,
7062,Samantha Buck,20/12/1974,
7063,Samantha Eggar,05/03/1939,
7064,Samantha Esteban,25/10/1979,
7065,Samantha Futerman,19/11/1987,
7066,Samantha Ivers,29/11/1982,
7067,Samantha Mathis,12/05/1970,
7068,Samantha McLeod,,
7069,Samantha Morton,13/05/1977,
7070,Sameer Ali Khan,,
7071,Sami Gayle,22/01/1996,
7072,Samira Wiley,,
7073,Samm Levine,12/03/1982,
7074,Sammo Kam-Bo Hung,07/01/1952,
7075,Sammy Davis Jr.,08/12/1925,16/05/1990
7076,Sammy Nagi Njuguna,,
7077,Samuel Davis,08/12/1925,16/05/1990
7078,Samuel Roukin,15/08/1980,
7079,Samuel West,19/06/1966,
7080,Sana Saeed,22/09/1988,
7081,Sanaa Hamri,,
7082,Sanaa Lathan,19/09/1971,
7083,Sandahl Bergman,14/11/1951,
7084,Sandra EcheverrÃ­a,11/12/1984,
7085,Sandra Ellis Lafferty,02/08/1940,
7086,Sandra Nelson,29/12/1964,
7087,Sandra Staggs,,
7088,Sandra Vergara,,
7089,Sandrine Holt,19/11/1972,
7090,Sandrine Kiberlain,25/02/1968,
7091,Sandy Dennis,,
7092,Sanjay Dutt,29/07/1959,
7093,Sanjay Mishra,,
7094,Sanjay Rawal,,
7095,Sanoe Lake,19/05/1979,
7096,Santiago Cabrera,05/05/1978,
7097,Santiago Segura,17/07/1965,
7098,Sara Forestier,04/10/1986,
7099,Sara Gilbert,29/01/1975,
7100,Sara Newens,,
7101,Sara Stepnicka,,
7102,Sara Stewart,28/06/1966,
7103,Sara Sugarman,13/10/1965,
7104,Sara-Marie Maltha,30/11/1971,
7105,Sarah Butler,11/02/1985,
7106,Sarah Callan,,
7107,Sarah Carter,30/10/1980,
7108,Sarah Clarke,16/02/1972,
7109,Sarah Douglas,12/12/1952,
7110,Sarah Drew,01/10/1980,
7111,Sarah Gadon,04/04/1987,
7112,Sarah Gavron,,
7113,Sarah Kazemy,,
7114,Sarah Lind,22/07/1982,
7115,Sarah Michelle Gellar,14/04/1977,
7116,Sarah Murphy-Dyson,,
7117,Sarah Parish,07/06/1968,
7118,Sarah Polley,08/01/1979,
7119,Sarah Rafferty,06/12/1972,
7120,Sarah Roemer,28/08/1984,
7121,Sarah Silverman,01/12/1970,
7122,Sarah Smith,,
7123,Sarah Solemani,04/09/1986,
7124,Sarah Steele,16/09/1988,
7125,Sarah Wright,28/09/1983,
7126,Sarah Wynter,15/02/1973,
7127,Sarain Boylan,,
7128,Sariann Monaco,,
7129,Sarik Andreasyan,24/08/1984,
7130,Sarita Choudhury,18/08/1966,
7131,Sarunyu Wongkrachang,,
7132,Sasha Alexander,17/05/1973,
7133,Sasha Roiz,21/10/1973,
7134,Satish Kaushik,13/04/1956,
7135,Satoshi Tsumabuki,13/12/1980,
7136,Saul Dibb,,
7137,Saul Stein,,
7138,Saul Williams,19/09/1940,
7139,Saurabh Shukla,05/03/1963,
7140,Sayed Badreya,,
7141,Scandar Copti,,
7142,Scarlett Johansson,22/11/1984,
7143,Scatman Crothers,23/05/1910,22/11/1986
7144,Scoot McNairy,11/11/1977,
7145,Scott A. Martin,,
7146,Scott Adsit,26/11/1965,
7147,Scott Alexander,16/06/1963,
7148,Scott Baio,22/09/1960,
7149,Scott Cohen,19/12/1961,
7150,Scott Cooper,,
7151,Scott Derrickson,16/07/1966,
7152,Scott Dow,,
7153,Scott Elrod,10/02/1975,
7154,Scott Evans,,
7155,Scott Foley,15/07/1972,
7156,Scott Frank,10/03/1960,
7157,Scott Glenn,26/01/1941,
7158,Scott Grimes,09/07/1971,
7159,Scott Handy,21/07/1968,
7160,Scott Helvenston,21/06/1965,31/03/2004
7161,Scott Hicks,04/03/1953,
7162,Scott Kalvert,15/08/1964,05/03/2014
7163,Scott Lawrence,27/09/1963,
7164,Scott Levy,,
7165,Scott Mann,,
7166,Scott Marshall,,
7167,Scott Mechlowicz,17/01/1981,
7168,Scott Patterson,11/09/1958,
7169,Scott Porter,14/07/1979,
7170,Scott Reeves,16/05/1966,
7171,Scott Schwartz,,
7172,Scott Smith,13/07/1965,
7173,Scott Speer,,
7174,Scott Stewart,09/10/1954,
7175,Scott Takeda,21/03/1967,
7176,Scott Vance,22/02/1964,
7177,Scott Walker,,
7178,Scott Waugh,,
7179,Scott Weinger,05/10/1975,
7180,Scott Wolf,04/06/1968,
7181,Scott Ziehl,,
7182,Scout Taylor-Compton,21/02/1989,
7183,Seamus Davey-Fitzpatrick,29/12/1998,
7184,Sean Anders,,
7185,Sean Buchanan,30/09/1968,
7186,Sean Byrne,,
7187,Sean Cameron Michael,24/12/1969,
7188,Sean Connery,25/08/1930,
7189,Sean Cook,,
7190,Sean Durkin,,
7191,Sean Harris,,
7192,Sean Hayes,26/06/1970,
7193,Sean Huze,18/01/1975,
7194,Sean Keenan,18/01/1993,
7195,Sean Kingston,03/02/1990,
7196,Sean Lennon,09/10/1975,
7197,Sean Maher,16/04/1975,
7198,Sean McNamara,09/05/1962,
7199,Sean Michael Afable,20/11/1988,
7200,Sean Patrick Thomas,17/12/1970,
7201,Sean Penn,17/08/1960,
7202,Sean Pertwee,04/06/1964,
7203,Sean Rogerson,30/09/1977,
7204,Sean Whalen,19/05/1964,
7205,Sean Young,20/11/1959,
7206,Sebastian Aguilar,,
7207,Sebastian Blomberg,24/05/1972,
7208,Sebastian Koch,31/05/1962,
7209,Sebastian RochÃ©,,
7210,Sebastian Schipper,08/05/1968,
7211,Sedona James,,
7212,Sedona Legge,,
7213,Seema Biswas,,
7214,Sela Ward,11/07/1956,
7215,Selton Mello,30/12/1972,
7216,Sendhil Ramamurthy,17/05/1974,
7217,Ser'Darius Blain,,
7218,Serdar Akar,,
7219,Seregon O'Dassey,03/07/1981,
7220,Serena Grandi,23/03/1958,
7221,Serena Scott Thomas,21/09/1961,
7222,Sergej Trifunovic,02/09/1972,
7223,Sergey Bodrov,28/06/1948,
7224,Sergey Bondarchuk,25/09/1920,20/10/1994
7225,Sergey Garmash,01/09/1958,
7226,Sergi LÃ³pez,22/12/1965,
7227,Sergio CalderÃ³n,09/12/1921,26/01/2008
7228,Sergio Leone,03/01/1929,30/04/1989
7229,Sessue Hayakawa,1889-06-10,23/11/1973
7230,Seth Ackerman,,
7231,Seth Gabel,03/10/1981,
7232,Seth Gilliam,05/11/1968,
7233,Seth Gordon,,
7234,Seth MacFarlane,26/10/1973,
7235,Seth Meyers,28/12/1973,
7236,Seu Jorge,08/06/1970,
7237,Seychelle Gabriel,25/03/1991,
7238,Seymour Cassel,22/01/1935,
7239,Shabana Azmi,18/09/1950,
7240,Shad Moss,09/03/1987,
7241,Shah Rukh Khan,02/11/1965,
7242,Shahab Hosseini,03/02/1974,
7243,Shahir Kabaha,,
7244,Shailene Garnett,,
7245,Shailene Woodley,15/11/1991,
7246,Shakti Kapoor,03/09/1952,
7247,Shana Feste,28/08/1976,
7248,Shane Acker,,
7249,Shane Black,16/12/1961,
7250,Shane Brolly,06/03/1970,
7251,Shane Carruth,,
7252,Shane Dawson,,
7253,Shane Hartline,,
7254,Shane Meadows,26/12/1972,
7255,Shane Pollard,,
7256,Shane Rangi,03/02/1969,
7257,Shanley Caswell,03/12/1991,
7258,Shannen Fields,,
7259,Shannon Elizabeth,07/09/1973,
7260,Shannon Tweed,10/03/1957,
7261,Shannon Woodward,17/12/1984,
7262,Shantel VanSanten,25/07/1985,
7263,Sharat Saxena,17/08/1950,
7264,Shari Albert,09/07/1971,
7265,Shari Springer Berman,13/07/1963,
7266,Sharlto Copley,27/11/1973,
7267,Sharon Greytak,,
7268,Sharon Lawrence,29/06/1961,
7269,Sharon Leal,17/10/1972,
7270,Sharon Maguire,,
7271,Sharon Small,01/01/1967,
7272,Sharron Miller,,
7273,Shaun Evans,,
7274,Shaun O'Hagan,24/07/1969,
7275,Shaun Parkes,09/02/1973,
7276,Shaun Sipos,30/10/1981,
7277,Shaun Toub,,
7278,Shaun Weiss,27/08/1978,
7279,Shauna Macdonald,06/10/1970,
7280,Shawn Andrews,15/10/1971,
7281,Shawn Christian,18/12/1965,
7282,Shawn Doyle,,
7283,Shawn Hatosy,29/12/1975,
7284,Shawn Levy,23/07/1968,
7285,Shawn Parsons,03/07/1977,
7286,Shawn Roberts,,
7287,Shawn Yue,13/11/1981,
7288,Shawna Waldron,25/01/1982,
7289,Shawnee Smith,03/07/1969,
7290,Shazahn Padamsee,19/10/1987,
7291,Shea Whigham,05/01/1969,
7292,Sheila Hancock,22/02/1933,
7293,Shekar,,
7294,Shekhar Kapur,06/12/1945,
7295,Shelby Vischer,,
7296,Sheldon Bailey,,
7297,Sheldon Leonard,22/02/1907,10/01/1997
7298,Sheldon Lettich,14/01/1951,
7299,Shelley Conn,21/09/1976,
7300,Shelley Duvall,07/07/1949,
7301,Shelley Hennig,02/01/1987,
7302,Shelley Long,23/08/1949,
7303,Shelley Waggener,30/09/1964,
7304,Shelley Winters,18/08/1920,14/01/2006
7305,Shelly Varod,,
7306,Shenae Grimes-Beech,24/10/1989,
7307,Shengyi Huang,11/02/1983,
7308,Sheridan Smith,25/06/1981,
7309,Sherman Alexie,07/10/1966,
7310,Sherman Hemsley,01/02/1938,24/07/2012
7311,Sherri Shepherd,22/04/1967,
7312,Sheryl Crow,11/02/1962,
7313,Sheryl Lee,30/12/1956,
7314,ShidÃ´ Nakamura,14/09/1972,
7315,Shigeo Kobayashi,,
7316,Shimit Amin,,
7317,Shin'ya Tsukamoto,01/01/1960,
7318,Shinji Aramaki,02/10/1960,
7319,Shinobu Terajima,28/12/1972,
7320,Shintaro Shimosawa,,
7321,Shiree Nelson,12/09/1986,
7322,Shiri Appleby,07/12/1978,
7323,Shirley Douglas,02/04/1934,
7324,Shirley Henderson,24/11/1965,
7325,Shirley Jones,31/03/1934,
7326,Shirley Knight,05/07/1936,
7327,ShÃ´ Kosugi,25/05/1976,
7328,Shobu Kapoor,,
7329,Shona Auerbach,,
7330,Shona Kay,,
7331,Shriman Umeshanad Brahmachari,,
7332,Shriya Saran,11/09/1982,
7333,Shun Oguri,26/12/1982,
7334,Shyam Madiraju,,
7335,Si Won Choi,07/04/1986,
7336,Sid Caesar,08/09/1922,12/02/2014
7337,Sid Haig,14/07/1939,
7338,Siddharth Anand,,
7339,Siddiq Barmak,07/09/1962,
7340,Sidney J. Furie,28/02/1933,
7341,Sidney James,08/05/1913,26/04/1976
7342,Sidney Lumet,25/06/1924,09/04/2011
7343,Sienna Beckman,,
7344,Sierra McCormick,28/10/1997,
7345,SigrÃ­Ã°ur MarÃ­a EgilsdÃ³ttir,,
7346,Sihung Lung,01/01/1930,02/05/2002
7347,Silvia Colloca,23/07/1977,
7348,Silvio Muccino,14/04/1982,
7349,Simeon Rice,24/02/1974,
7350,Simon Abkarian,05/03/1962,
7351,SimÃ³n Andreu,01/01/1941,
7352,Simon Baker,30/07/1969,
7353,Simon Baron-Cohen,,
7354,Simon Callow,13/06/1949,
7355,Simon Chandler,,
7356,Simon Curtis,11/03/1960,
7357,Simon McBurney,25/08/1957,
7358,Simon Merrells,14/07/1965,
7359,Simon Napier-Bell,22/04/1939,
7360,Simon Rhee,28/10/1957,
7361,Simon Wells,,
7362,Simon West,25/09/1966,
7363,Simon Wincer,,
7364,Simon Woods,,
7365,Simon Yam,19/03/1955,
7366,Simon Yin,06/06/1955,08/03/2015
7367,Sina Amedson,05/04/1982,
7368,Siobhan Fallon Hogan,13/05/1961,
7369,Siobhan Marshall,,
7370,Sissy Petropoulou,,
7371,Sissy Spacek,25/12/1949,
7372,Siu-Wong Fan,19/06/1973,
7373,Ski Carr,,
7374,Skye McCole Bartusiak,28/09/1992,19/07/2014
7375,Skyler Samuels,14/04/1994,
7376,Slash,23/07/1965,
7377,Slim Pickens,29/06/1919,08/12/1983
7378,Sngmoo Lee,,
7379,Snoop Dogg,20/10/1971,
7380,Sofia Black-D'Elia,23/12/1991,
7381,Sofia Boutella,06/04/1982,
7382,Sofia Coppola,14/05/1971,
7383,Sofia Vassilieva,22/10/1992,
7384,Sofie GrÃ¥bÃ¸l,30/07/1968,
7385,Sol Tryon,,
7386,Soledad Villamil,19/06/1969,
7387,Soleyman Pierini,,
7388,Sonam Kinga,,
7389,Sonia Braga,08/06/1950,
7390,Sonja Sohn,,
7391,Sonoya Mizuno,,
7392,Sook-Yin Lee,,
7393,Sophia Myles,18/03/1980,
7394,Sophie NÃ©lisse,27/03/2000,
7395,Sophie Okonedo,11/08/1968,
7396,Sophie Rois,01/06/1961,
7397,Spela Colja,,
7398,Spencer Breslin,18/05/1992,
7399,Spencer Susser,,
7400,Spencer Tracy,05/04/1900,10/06/1967
7401,Spencer Treat Clark,24/09/1987,
7402,Spencer Wilding,26/07/1972,
7403,Spike Jonze,22/10/1969,
7404,Spike Lee,20/03/1957,
7405,Sprague Grayden,21/07/1980,
7406,Spring Byington,1886-10-17,07/09/1971
7407,Stacie Evans,,
7408,Stacy Edwards,04/03/1965,
7409,Stacy Keach,02/06/1941,
7410,Stacy Peralta,15/10/1957,
7411,Stafford Douglas,,
7412,Stana Roumillac,,
7413,Stanislav Ianevski,16/05/1985,
7414,Stanley B. Herman,,
7415,Stanley Blystone,1894-08-01,16/07/1956
7416,Stanley Donen,13/04/1924,
7417,Stanley Kramer,29/09/1913,19/02/2001
7418,Stanley Kubrick,26/07/1928,07/03/1999
7419,Stanley Tong,,
7420,Stanton Barrett,01/12/1972,
7421,Stark Sands,30/09/1978,
7422,Stefan C. Schaefer,,
7423,Stefan Kapicic,01/12/1978,
7424,Stefan Ruzowitzky,25/12/1961,
7425,Stefan Schwartz,,
7426,Stefania Sandrelli,05/06/1946,
7427,Stefanie Drummond,,
7428,Stefen Fangmeier,09/12/1960,
7429,Steffinnie Phrommany,02/10/1978,
7430,Stellan SkarsgÃ¥rd,13/06/1951,
7431,Stephan Elliott,27/08/1964,
7432,StÃ©phane Aubier,08/10/1964,
7433,Stephane Gauger,,
7434,StÃ©phane Rousseau,17/09/1966,
7435,Stephanie Berry,,
7436,Stephanie Danielson,11/04/1987,
7437,Stephanie Lemelin,29/06/1979,
7438,Stephanie Leonidas,14/02/1984,
7439,Stephanie March,23/07/1974,
7440,Stephanie Sigman,,
7441,Stephanie Szostak,,
7442,Stephanie Vogt,12/08/1975,
7443,Stephen Amell,08/05/1981,
7444,Stephen Au,26/04/1963,
7445,Stephen Baldwin,12/05/1966,
7446,Stephen Boss,17/11/1960,
7447,Stephen Boyd,04/07/1931,02/06/1977
7448,Stephen Carpenter,,
7449,Stephen Carr,,
7450,Stephen Chbosky,25/01/1970,
7451,Stephen Chow,22/06/1962,
7452,Stephen Colbert,13/05/1964,
7453,Stephen Collins,01/10/1947,
7454,Stephen Daldry,02/05/1960,
7455,Stephen Dillane,27/03/1957,
7456,Stephen Frears,20/06/1941,
7457,Stephen Gaghan,06/05/1965,
7458,Stephen Graham,03/08/1973,
7459,Stephen Henderson,31/08/1949,
7460,Stephen Herek,05/02/1969,
7461,Stephen Hillenburg,21/08/1961,
7462,Stephen Hopkins,,
7463,Stephen J. Anderson,,
7464,Stephen Kay,,
7465,Stephen Kijak,,
7466,Stephen Langford,,
7467,Stephen Macht,01/05/1942,
7468,Stephen Marcus,18/06/1962,
7469,Stephen McCole,,
7470,Stephen McHattie,03/02/1947,
7471,Stephen Merchant,24/11/1974,
7472,Stephen Milburn Anderson,,01/05/2015
7473,Stephen Norrington,,
7474,Stephen Rea,31/10/1946,
7475,Stephen Root,17/11/1951,
7476,Stephen Sommers,20/03/1962,
7477,Stephen Walters,,
7478,Sterling Jerins,15/06/2004,
7479,Sterling Van Wagenen,02/07/1947,
7480,Stevan Mena,,
7481,Steve Antin,19/04/1958,
7482,Steve Bacic,13/03/1965,
7483,Steve Bannos,05/08/1960,
7484,Steve Barron,04/05/1956,
7485,Steve Bastoni,04/03/1966,
7486,Steve Beck,,
7487,Steve Bendelack,,
7488,Steve Bisley,26/12/1951,
7489,Steve Box,23/01/1967,
7490,Steve Boyum,04/09/1952,
7491,Steve Burg,,
7492,Steve Buscemi,13/12/1957,
7493,Steve Byers,31/12/1979,
7494,Steve Carell,16/08/1962,
7495,Steve Carr,,
7496,Steve Carver,05/04/1945,
7497,Steve Coogan,14/10/1965,
7498,Steve Diasparra,,
7499,Steve Duin,,
7500,Steve Earle,17/01/1955,
7501,Steve Gomer,,
7502,Steve Gonsalves,,
7503,Steve Guttenberg,24/08/1958,
7504,Steve Harris,03/12/1965,
7505,Steve Harvey,17/01/1957,
7506,Steve Hickner,,
7507,Steve Howey,12/07/1977,
7508,Steve Irwin,,
7509,Steve James,,
7510,Steve Le Marquand,26/12/1967,
7511,Steve Martino,14/08/1945,
7512,Steve McQueen,09/10/1969,
7513,Steve Miner,18/06/1951,
7514,Steve Oedekerk,27/11/1961,
7515,Steve Pemberton,01/09/1967,
7516,Steve Pink,,
7517,Steve Railsback,16/11/1945,
7518,Steve Rash,,
7519,Steve Reevis,14/08/1962,
7520,Steve Schirripa,01/08/1958,
7521,Steve Taylor,,
7522,Steve Trenbirth,,
7523,Steve Whitmire,24/09/1958,
7524,Steve-O,,
7525,Steven Anthony Lawrence,19/07/1990,
7526,Steven Bauer,02/12/1956,
7527,Steven Berkoff,03/08/1937,
7528,Steven Brill,,
7529,Steven Christopher Parker,08/01/1989,
7530,Steven E. de Souza,17/11/1947,
7531,Steven Elder,,
7532,Steven Hill,24/02/1922,23/08/2016
7533,Steven Mackintosh,30/04/1967,
7534,Steven Michael Quezada,15/02/1963,
7535,Steven Quale,,
7536,Steven R. Monroe,15/09/1964,
7537,Steven Seagal,10/04/1952,
7538,Steven Shainberg,05/02/1963,
7539,Steven Soderbergh,14/01/1963,
7540,Steven Spielberg,18/12/1946,
7541,Steven Waddington,,
7542,Steven Weber,04/03/1961,
7543,Steven Yeun,21/12/1983,
7544,Steven Zaillian,30/01/1953,
7545,Stevie Wonder,13/05/1950,
7546,Stewart Hendler,22/12/1978,
7547,Stewart Raffill,27/01/1942,
7548,Stian Smestad,12/03/1976,
7549,Sticky Fingaz,03/11/1973,
7550,Stig Bergqvist,28/04/1962,
7551,Stig Frode Henriksen,,
7552,Stiles White,,
7553,Stockard Channing,13/02/1944,
7554,Stuart Baird,14/01/1947,
7555,Stuart Beattie,,
7556,Stuart Gillard,28/04/1950,
7557,Stuart Gordon,11/08/1947,
7558,Stuart Hazeldine,10/06/1971,
7559,Stuart Margolin,31/01/1940,
